# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
V_-ssRNAviruses	Articulavirales	Amnoonviridae		Tilapinevirus	Amnoonviridae	Tilapia tilapinevirus	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	NC_029926, NC_029921, NC_029927, NC_029922, NC_029923, NC_029928, NC_029924, NC_029929, NC_029925, NC_029930	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	Tilapia lake virus isolate Til-4-2011 segment 1, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 2, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 3, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 4, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 5, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 6, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 7, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 8, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 9, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 10, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Pichinde mammarenavirus	JN378748, JN378747		JN378748, JN378747	Pichinde virus strain An4763 segment L, complete sequence., Pichinde virus strain An4763 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Pirital mammarenavirus	AY494081, AF485262	NC_005897, NC_005894	AY494081, AF485262	Pirital virus segment L, complete sequence., Pirital virus strain VAV-488 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Sabia mammarenavirus	AY358026, U41071	NC_006313, NC_006317	AY358026, U41071	Sabia virus strain SPH114202 segment L, complete sequence., Sabia virus glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Solwezi mammarenavirus	AB972429, AB972428		AB972429, AB972428	Arenaviridae sp. 13ZR68 viral cRNA, segment L, complete sequence., Arenaviridae sp. 13ZR68 viral cRNA, segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Tacaribe mammarenavirus	J04340, M20304	NC_004292, NC_004293	J04340, M20304	Tacaribe virus L protein and P-11 protein genes, complete cds., Tacaribe virus glycoprotein and nucleoprotein mRNAs, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Tamiami mammarenavirus	AY924393, AF485263	NC_010702, NC_010701	AY924393, AF485263	Tamiami virus strain W 10777 segment L, complete sequence., Tamiami virus strain CDC W-10777 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Wenzhou mammarenavirus	KJ909795, KJ909794	NC_026019, NC_026018	KJ909795, KJ909794	Wenzhou virus isolate Rn-242 segment L, complete sequence., Wenzhou virus isolate Rn-242 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Whitewater Arroyo mammarenavirus	AY924395, AF228063	NC_010703, NC_010700	AY924395, AF228063	Whitewater Arroyo virus strain AV 9310135 segment L, complete sequence., Whitewater Arroyo virus S segment, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Reptarenavirus	Arenaviridae	Alethinophid 1 reptarenavirus (Golden Gate virus)	JQ717263, JQ717264	NC_018482, NC_018483	JQ717263, JQ717264	Golden Gate virus isolate BC segment L, complete sequence., Golden Gate virus isolate BC segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Reptarenavirus	Arenaviridae	Alethinophid 2 reptarenavirus (CAS virus)	JQ717261, JQ717262	NC_018484, NC_018481	JQ717261, JQ717262	CAS virus isolate ATB segment L, complete sequence., CAS virus isolate ATB segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Reptarenavirus	Arenaviridae	Alethinophid 3 reptarenavirus (ROUT virus)	KC508670, KC508669	NC_023762, NC_023761	KC508670, KC508669	Boa arenavirus NL isolate 3 segment L, complete sequence., Boa arenavirus NL isolate 3 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Reptarenavirus	Arenaviridae	University of Helsinki virus	KF297881, KF297880	NC_023765, NC_023766	KF297881, KF297880	University of Helsinki virus strain UHV-1 segment L, complete sequence., University of Helsinki virus strain UHV-1 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Cruliviridae		Lincruvirus	Cruliviridae	Crustacean lincruvirus	KX884856, KX884857, KX884858	NC_032143, NC_032144, NC_032145	KX884856, KX884857, KX884858	Wenling crustacean virus 9 strain WLJQ100911 RNA-dependent RNA polymerase gene, complete cds., Wenling crustacean virus 9 strain WLJQ100911 putative glycoprotein gene, complete cds., Wenling crustacean virus 9 strain WLJQ100911 putative nucleoprotein gene, complete cds.	invertebrates
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Actinidia chlorotic ringspot-associated emaravirus	KT861481, KT861482, KT861483, KT861484, KT861485		KT861481, KT861482, KT861483, KT861484, KT861485	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA1 RNA-dependent RNA polymerase gene, complete cds., Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA2 glycoprotein precursor, gene, complete cds., Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA3 nucleocapsid protein gene, complete cds., Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA4 membrane-located protein gene, complete cds., Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA5 putative protein gene, complete cds.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	European mountain ash ringspot-associated emaravirus	AY563040, AY563041, DQ831831, DQ831828	NC_013105, NC_013106, NC_013108, NC_013107	AY563040, AY563041, DQ831831, DQ831828	European mountain ash ringspot-associated virus RNA-dependent RNA polymerase (RdRP) mRNA, complete cds., European mountain ash ringspot-associated virus putative glycoprotein precursor, mRNA, complete cds., European mountain ash ringspot-associated virus putative nucleocapsid protein mRNA, complete cds., European mountain ash ringspot-associated virus unknown protein mRNA, complete cds.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Fig mosaic emaravirus	AM941711, FM864225, HE803826, FM991954, FM992851, HE803827	NC_029562, NC_029565, NC_029566, NC_029563, NC_029564, NC_029568	AM941711, FM864225, HE803826, FM991954, FM992851, HE803827	Fig mosaic virus mRNA for RNA-dependent RNA polymerase (RdRp gene)., Fig mosaic virus mRNA for putative glycoprotein precursor (RNA-2 gene), isolate Gr10., Fig mosaic virus RNA5 gene for p5 protein, genomic RNA, isolate Gr10., Fig mosaic virus mRNA for putative nucleocapsid protein (N gene), isolate Gr10., Fig mosaic virus mRNA for P4 protein (RNA4 gene), isolate Gr10., Fig mosaic virus RNA6 gene for p6 protein, genomic RNA, isolate Gr10.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	High Plains wheat mosaic emaravirus	KJ939623, KJ939624, KJ939629, KJ939628, KJ939627, KJ939626, KJ939630, KJ939631	NC_029570, NC_029549, NC_029553, NC_029552, NC_029551, NC_029550, NC_029554, NC_029555	KJ939623, KJ939624, KJ939629, KJ939628, KJ939627, KJ939626, KJ939630, KJ939631	High Plains wheat mosaic virus isolate Nebraska segment RNA 1, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 2, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 6, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 5, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 4, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 3B, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 7, complete sequence., High Plains wheat mosaic virus isolate Nebraska segment RNA 8, complete sequence.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Pigeonpea sterility mosaic emaravirus 1	HF568801, HF568802, HF945448, HF568804, HF568803	NC_029575, NC_029556, NC_029569, NC_029557, NC_029574	HF568801, HF568802, HF945448, HF568804, HF568803	Pigeonpea sterility mosaic virus, segment RNA1, RdRp gene for RNA dependent RNA polymerase, genomic RNA., Pigeonpea sterility mosaic virus, segment RNA2, gene for putative glycoprotein precursor, genomic RNA., Pigeon pea sterility mosaic virus segment RNA5, viral cRNA for p5 (p5 gene)., Pigeonpea sterility mosaic virus, segment RNA4, gene for putative movement protein, genomic RNA., Pigeonpea sterility mosaic virus, segment RNA3, gene for putative nucleocapsid protein, genomic RNA.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Pigeonpea sterility mosaic emaravirus 2	HF912243, HF912244, HG939489, HF912246, HF912245, HG939490	NC_030660, NC_030662, NC_030658, NC_030663, NC_030661, NC_030659	HF912243, HF912244, HG939489, HF912246, HF912245, HG939490	Pigeonpea sterility mosaic virus 2 segment RNA1, complete genome, isolate PLant., Pigeonpea sterility mosaic virus 2 segment RNA2, complete genome, isolate PLant., Pigeonpea sterility mosaic virus 2p5 gene, segment RNA5, isolate ICP8863., Pigeonpea sterility mosaic virus 2 segment RNA4, complete genome, isolate PLant., Pigeonpea sterility mosaic virus 2 segment RNA3, complete genome, isolate PLant., Pigeonpea sterility mosaic virus 2 p6 gene, segment RNA6, isolate ICP8863.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Raspberry leaf blotch emaravirus	FR823299, FR823300, FR823303, FR823302, FR823301, KP970123, KP970121, KP970122	NC_029567, NC_029558, NC_029561, NC_029560, NC_029559, NC_029573, NC_029571, NC_029572	FR823299, FR823300, FR823303, FR823302, FR823301, KP970123, KP970121, KP970122	Raspberry leaf blotch virus segment RNA1, complete genome., Raspberry leaf blotch virus segment RNA2, complete genome., Raspberry leaf blotch virus segment RNA5, complete genome., Raspberry leaf blotch virus segment RNA4, complete genome., Raspberry leaf blotch virus segment RNA3, complete genome., Raspberry leaf blotch virus isolate Pittenweem segment RNA8, complete sequence., Raspberry leaf blotch virus isolate Pittenweem segment RNA6, complete sequence., Raspberry leaf blotch virus isolate Pittenweem segment RNA7, complete sequence.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Redbud yellow ringspot-associated emaravirus	JF795479, JF795480, JF795482, JF795481, KU904300		JF795479, JF795480, JF795482, JF795481, KU904300	Redbud yellow ringspot virus RNA-dependent RNA-polymerase gene, complete cds., Redbud yellow ringspot virus glycoprotein precursor, gene, complete cds., Redbud yellow ringspot virus p4 gene, complete cds., Redbud yellow ringspot virus putative nucleocapsid protein gene, complete cds., Redbud yellow ringspot virus strain SEQISO p5 gene, complete cds.	plants
V_-ssRNAviruses	Bunyavirales	Fimoviridae		Emaravirus	Fimoviridae	Rose rosette emaravirus	HQ871942, HQ871943, HQ871944, HQ871945	NC_015298, NC_015299, NC_015300, NC_015301	HQ871942, HQ871943, HQ871944, HQ871945	Rose rosette virus segment RNA1, complete sequence., Rose rosette virus segment RNA2, complete sequence., Rose rosette virus segment RNA3, complete sequence., Rose rosette virus segment RNA4, complete sequence.	plants
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Mobatvirus	Hantaviridae	Laibin mobatvirus	KM102249, KM102248, KM102247		KM102249, KM102248, KM102247	Laibin virus strain BT20 segment L, complete sequence., Laibin virus strain BT20 segment M, complete sequence., Laibin virus strain BT20 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Mobatvirus	Hantaviridae	Nova mobatvirus	KR072623, KR072622, KR072621	NC_034465, NC_034470, NC_034464	KR072623, KR072622, KR072621	Nova virus strain Te34 RNA-dependent RNA polymerase gene, complete cds., Nova virus strain Te34 glycoprotein gene, complete cds., Nova virus strain Te34 nucleocapsid gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Mobatvirus	Hantaviridae	Quezon mobatvirus	KU950715, KU950714, KU950713	NC_034401, NC_034393, NC_034400	KU950715, KU950714, KU950713	Quezon virus clone MT1720/1657 segment L, complete sequence., Quezon virus clone MT1720/1657 segment M, complete sequence., Quezon virus clone MT1720/1657 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Andes orthohantavirus	AF291704, AF291703, AF291702	NC_003468, NC_003467, NC_003466	AF291704, AF291703, AF291702	Andes virus strain Chile-9717869 segment L, complete sequence., Andes virus strain Chile-9717869 segment M G1 and G2 surface glycoprotein precursor, gene, complete cds., Andes virus strain Chile-9717869 segment S nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Bayou orthohantavirus	GQ244526, L36930, L36929		GQ244526, L36930, L36929	Bayou virus isolate HV F0260003 segment L, complete sequence., Bayou virus glycoprotein precursor, complete cds., Bayou virus nucleocapsid protein, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Bowe orthohantavirus	KC631784, KC631783, KC631782	NC_034407, NC_034406, NC_034405	KC631784, KC631783, KC631782	Bowe virus strain VN1512 RNA-dependent RNA polymerase gene, complete cds., Bowe virus strain VN1512 glycoprotein gene, complete cds., Bowe virus strain VN1512 nucleocapsid gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Bruges orthohantavirus	KX551962, KX551961, KX551960	NC_034402, NC_034395, NC_034394	KX551962, KX551961, KX551960	Bruges hantavirus strain BE/Vieux-Genappe/TE/2013/1 RNA-dependent RNA polymerase gene, complete cds., Bruges hantavirus strain BE/Vieux-Genappe/TE/2013/1 glycoprotein precursor, gene, complete cds., Bruges hantavirus strain BE/Vieux-Genappe/TE/2013/1 nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Cano Delgadito orthohantavirus	GQ200821, DQ284451, DQ285566	NC_034515, NC_034525, NC_034528	GQ200821, DQ284451, DQ285566	Cano Delgadito virus strain VHV-574 RNA-dependent RNA polymerase gene, complete cds., Cano Delgadito virus strain VHV-574 segment M, complete sequence., Cano Delgadito virus strain VHV-574 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Cao Bang orthohantavirus	EF543525, EF543526, EF543524	NC_034485, NC_034474, NC_034484	EF543525, EF543526, EF543524	Cao Bang virus strain 3 segment L polymerase gene, complete cds., Cao Bang virus strain 3 segment M glycoprotein gene, complete cds., Cao Bang virus strain 3 segment S nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Dobrava-Belgrade orthohantavirus	AJ410617, AJ410616, AJ410615	NC_005235, NC_005234, NC_005233	AJ410617, AJ410616, AJ410615	Dobrava virus complete L segment gene for polymerase protein, strain DOBV/Ano-Poroia/Afl9/1999)., Dobrava virus complete M segment gene for glycoprotein precursor (G1-G2), strain DOBV/Ano-Poroia/Afl9/1999)., Dobrava virus complete S segment gene for nucleocapsid protein, strain DOBV/Ano-Poroia/Afl9/1999.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Fugong orthohantavirus (Eothenomys eleusis hantavirus)	KT899703, KT899702, KT899701	NC_034467, NC_034466, NC_034473	KT899703, KT899702, KT899701	Eothenomys eleusis hantavirus FUGV isolate FG10 segment large, complete sequence., Eothenomys eleusis hantavirus FUGV isolate FG10 segment middle, complete sequence., Eothenomys eleusis hantavirus FUGV isolate FG10 segment small, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Hantaan orthohantavirus	X55901, M14627, M14626	NC_005222, NC_005219, NC_005218	X55901, M14627, M14626	Hantaan virus gene for putative polymerase, genomic RNA., Hantaan virus, complete M RNA segment coding for G1 and G2 proteins, complete cds., Hantaan virus S segment encoding nucleocapsid protein.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Hantavirus Z10	AF189155, AF276987, AF184987	NC_006435, NC_006437, NC_006433	AF189155, AF276987, AF184987	Hantavirus Z10 L segment putative RNA-dependent RNA polymerase gene, complete cds., Hantavirus Z10 segment M G1/G2 glycoprotein gene, complete cds., Hantavirus Z10 S segment nucleocapsid protein mRNA, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Jeju orthohantavirus	HQ834697, HQ834696, HQ834695	NC_034399, NC_034404, NC_034398	HQ834697, HQ834696, HQ834695	Jeju virus strain 10-11 RNA-dependent RNA polymerase gene, complete cds., Jeju virus strain 10-11 glycoprotein precursor, gene, complete cds., Jeju virus strain 10-11 nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Kenkeme orthohantavirus	KJ857320, KJ857337, KJ857341	NC_034560, NC_034565, NC_034559	KJ857320, KJ857337, KJ857341	Kenkeme virus isolate Fuyuan-Sr-326 RNA-dependent RNA polymerase gene, complete cds., Kenkeme virus isolate Fuyuan-Sr-326 glycoprotein gene, complete cds., Kenkeme virus isolate Fuyuan-Sr-326 nucleocapsid gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Khabarovsk orthohantavirus	KJ857321, KJ857338, KJ857342	NC_034519, NC_034518, NC_034527	KJ857321, KJ857338, KJ857342	Khabarovsk virus isolate Fuyuan-Mm-217 RNA-dependent RNA polymerase gene, complete cds., Khabarovsk virus isolate Fuyuan-Mm-217 glycoprotein gene, complete cds., Khabarovsk virus isolate Fuyuan-Mm-217 nucleocapsid gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Luxi orthohantavirus (Eothenomys miletus hantavirus)	HQ404253, HM756287, HM756286		HQ404253, HM756287, HM756286	Eothenomys miletus hantavirus LX309 segment large, complete sequence., Eothenomys miletus hantavirus LX309 segment middle, complete sequence., Eothenomys miletus hantavirus LX309 segment small, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Maporal orthohantavirus	EU788002, AY363179, AB689164	NC_034553, NC_034552, -	EU788002, AY363179, AB689164	Maporal virus strain HV 97021050 segment L, complete sequence., Maporal virus strain HV-97021050 segment M, complete sequence., Maporal virus gene for nucleocapsid protein, complete cds, strain: HV-97021050.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Montano orthohantavirus	AB620102, AB620101, AB620100	NC_034403, NC_034397, NC_034396	AB620102, AB620101, AB620100	Montano virus gene for RNA-dependent RNA polymerase, complete cds, isolate: 104/2006., Montano virus gene for glycoprotein precursor, complete cds, isolate: 104/2006., Montano virus gene for nucleocapsid protein, complete cds, isolate: 104/2006.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Prospect Hill orthohantavirus	EF646763, X55129, Z49098		EF646763, X55129, Z49098	Prospect Hill virus segment L, complete sequence., Prospect Hill virus mRNA for glycoproteins G1 and G2., Prospect Hill virus RNA, strain PH-1.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Puumala orthohantavirus	M63194, M29979, M32750		M63194, M29979, M32750	Puumala virus CG1820 RNA-dependent RNA polymerase gene in L RNA segment., Puumala virus CG1820 virus M genome segment, complete cds., Puumala virus CG1820 segment S nucleocapsid protein mRNA, 5' end.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Puumala orthohantavirus	Z66548, X61034, X61035	NC_005225, NC_005223, NC_005224	Z66548, X61034, X61035	Puumala virus segment L, genomic RNA, strain Sotkamo., Puumala virus genomic RNA for glycoprotein polyprotein precursor., Puumala virus genomic RNA for nucleocapsid protein.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Rio Mamore hantavirus	FJ809772, FJ608550, FJ532244		FJ809772, FJ608550, FJ532244	Rio Mamore virus isolate HTN-007 segment L, complete sequence., Rio Mamore virus strain HTN-007 segment M, complete sequence., Rio Mamore virus strain HTN-007 nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Rockport orthohantavirus	HM015221, HM015219, HM015223		HM015221, HM015219, HM015223	Rockport virus isolate MSB57412 segment L, complete sequence., Rockport virus isolate MSB57412 segment M, complete sequence., Rockport virus isolate MSB57412 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Sangassou orthohantavirus	JQ082302, JQ082301, JQ082300	NC_034517, NC_034516, NC_034526	JQ082302, JQ082301, JQ082300	Sangassou virus strain SA14 RNA polymerase (L) gene, complete cds., Sangassou virus strain SA14 glycoprotein precursor (M) gene, complete cds., Sangassou virus strain SA14 N protein (S) gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Seoul orthohantavirus	X56492, S47716, AY273791	NC_005238, NC_005237, NC_005236	X56492, S47716, AY273791	Seoul virus 80-39 L gene for RNA-dependent RNA polymerase, genomic RNA., Seoul virus 80-39 glycoprotein precusor gene, complete cds., Seoul virus strain 80-39 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Sin Nombre orthohantavirus	L37901, L25783, L25784	NC_005217, NC_005215, NC_005216	L37901, L25783, L25784	Sin Nombre virus (NM H10) RNA L segment encoding RNA polymerase (L protein), complete cds., Sin Nombre virus M segment glycoprotein precursor gene (GPC), complete cds., Sin Nombre virus S segment nucleocapsid protein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Sin Nombre orthohantavirus	L37902, L37903, L37904		L37902, L37903, L37904	Sin Nombre virus (NM R11) RNA L segment encoding RNA polymerase (L protein), complete cds., Sin Nombre virus (NM R11) RNA M segment encoding surface glycoproteins (G1 and G2 proteins), complete cds., Sin Nombre virus (NM R11) RNA S segment encoding nucleocapsid protein (N protein), complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Thailand orthohantavirus (Anjozorobe hantavirus)	KC490922, KC490919, KC490918	NC_034556, NC_034563, NC_034555	KC490922, KC490919, KC490918	Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 RNA-dependent RNA polymerase gene, complete cds., Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 glycoprotein precursor, gene, complete cds., Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 nucleocapsid protein (N) gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaviridae	Tula orthohantavirus	AJ005637, Z69993, Z49915	NC_005226, NC_005228, NC_005227	AJ005637, Z69993, Z49915	Tula virus, strain Tula/Moravia/5302v, segment L, complete sequence, genomic RNA., Tula virus genomic RNA, strain (Tula/Moravia/5302v/95)., Tula virus segment S, strain Tula/Moravia/5302Ma/94, genomic RNA.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Thottimvirus	Hantaviridae	Imjin thottimvirus	KJ420567, KJ420541, KJ420559	NC_034564, NC_034557, NC_034558	KJ420567, KJ420541, KJ420559	Imjin virus segment L RNA-dependent RNA polymerase gene, complete cds., Imjin virus segment M glycoprotein gene, complete cds., Imjin virus segment S nucleoprotein gene, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Hantaviridae		Thottimvirus	Hantaviridae	Thottopalayam thottimvirus	DQ825770, DQ825771, AY526097	NC_010707, NC_010708, NC_010704	DQ825770, DQ825771, AY526097	Thottapalayam virus strain VRC 66412 segment L, complete sequence., Thottapalayam virus strain VRC 66412 segment M, complete sequence., Thottapalayam virus S segment, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Mypoviridae		Hubavirus	Mypoviridae	Myriapod hubavirus	KX884758, KX884759, KX884760	NC_033761, NC_033759, NC_033760	KX884758, KX884759, KX884760	Hubei myriapoda virus 5 strain GCM10499 RNA-dependent RNA polymerase gene, complete cds., Hubei myriapoda virus 5 strain GCM10499 putative glycoprotein gene, complete cds., Hubei myriapoda virus 5 strain GCM10499 putative nucleoprotein gene, complete cds.	invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Burana orthonairovirus (Tacheng Tick Virus 1)	KM817683, KM817717, KM817743	NC_031284, NC_031285, NC_031286	KM817683, KM817717, KM817743	Tacheng Tick Virus 1 strain TC253 RNA-dependent RNA polymerase (L) gene, complete cds., Tacheng Tick Virus 1 strain TC253 glycoprotein precursor (G) gene, complete cds., Tacheng Tick Virus 1 strain TC253 nucleopasid protein (N) gene, complete cds.	vertebrates, invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Crimean-Congo hemorrhagic fever orthonairovirus	AY389361, AF467768, U88410	NC_005301, NC_005300, NC_005302	AY389361, AF467768, U88410	Crimean-Congo hemorrhagic fever virus segment L, complete sequence., Crimean-Congo hemorrhagic fever virus strain IbAr10200 glycoprotein precursor, gene, complete cds., Crimean-Congo hemorrhagic fever virus strain 10200 nucleoprotein gene, complete cds.	vertebrates, invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Dera Ghazi Khan orthonairovirus	KU343151, KU343152, KU343153	NC_034520, NC_034510, NC_034521	KU343151, KU343152, KU343153	UNVERIFIED: Dera Ghazi Khan virus isolate JD254 segment L cRNA sequence., UNVERIFIED: Dera Ghazi Khan virus isolate JD254 segment M cRNA sequence., UNVERIFIED: Dera Ghazi Khan virus isolate JD254 segment S cRNA sequence.	vertebrates, invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Dugbe orthonairovirus	U15018, M94133, AF434161	NC_004159, NC_004158, NC_004157	U15018, M94133, AF434161	Dugbe virus L protein gene, complete cds., Dugbe nairovirus glycoprotein polyprotein gene, complete cds., Dugbe virus isolate ArD 44313 segment S, complete sequence.	vertebrates, invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Erve virus	JF911697, JF911698, JF911699	NC_029909, NC_029934, NC_029910	JF911697, JF911698, JF911699	Erve virus segment L, complete sequence., Erve virus segment M, complete sequence., Erve virus segment S, complete sequence.	vertebrates, invertebrates
V_-ssRNAviruses	Bunyavirales	Nairoviridae		Orthonairovirus	Nairoviridae	Hazara orthonairovirus	KP406723, KP406724, KP406725		KP406723, KP406724, KP406725	Hazara virus isolate JC280 segment L, complete sequence., Hazara virus isolate JC280 segment M, complete sequence., Hazara virus isolate JC280 segment S, complete sequence.	vertebrates, invertebrates
